Messages,Start Date,District,Communication Channel,The message contains
coronavirus vaccine is causing impotency to men,1/10/2022,Bo,WhatsApp,misinformation
the moh has taken the covid-19 vaccine to vaccinate school children,1/28/2022,Western Urban,WhatsApp Other Social Media,misinformation
the vaccine will barren women if they take it,1/28/2022,Western Urban,Market/Shops/Street,rumors
covid-19 is not in africa,1/28/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine is about money making strategy.,1/28/2022,Western Urban,Word of mouth,misinformation
the covid 19 vaccine is to reduced the world population,1/28/2022,Western Urban,Market/Shops/Street,misinformation
misinformation,1/28/2022,Western Urban,Market/Shops/Street,misinformation
if someone take the vaccine will not get pregnant,1/28/2022,Western Urban,Market/Shops/Street WhatsApp,concerns
the vaccine is not safe,12/9/2021,Bo,Political events,rumors
vaccine safe,1/28/2022,Bo,Political events,concerns
the vaccine is not safe for them,1/28/2022,Western Urban,Word of mouth Other,misinformation
if we take the vaccine it will reduce my chances of bearing many children,1/24/2022,Western Urban,Market/Shops/Street Flyers and printed materials,rumors
vaccines are not safe and effective,1/28/2022,Western Urban,Other,rumors
the polio vaccine was rumors to be polio vaccine,1/28/2022,Western Urban,WhatsApp,rumors
if someone take the corona virus vaccine the person will die,1/28/2022,Western Urban,Market/Shops/Street,misinformation
the polio vaccine rumors to be covid-19,1/28/2022,Western Urban,WhatsApp,rumors
people said that if you take the covid-19 vaccines you will die,1/28/2022,Western Urban,Market/Shops/Street,misinformation
covid-19 vaccine is not good for your health,1/28/2022,Western Rural,Social mobilization Activities,rumors
there is a hand band lottery for vaccinated individuals.,1/29/2022,Western Urban,Social mobilization Activities,information
vaccine can kill,1/29/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine is to reduce world population,1/29/2022,Western Urban,Market/Shops/Street,misinformation
taking the covid-19 vaccine is a strategy to reduce population in africa,11/17/2021,Western Urban,Social mobilization Activities,rumors
the covid-19 vaccine can kill children,1/29/2022,Western Urban,Market/Shops/Street,misinformation
the covid-19 vaccine is not safe for children,1/29/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine is not safe,1/29/2022,Western Urban,Word of mouth,misinformation
the vaccine is not safe,1/29/2022,Western Urban,Word of mouth,misinformation
vandy gborie,1/29/2022,Western Urban,Word of mouth,misinformation
the vaccine causes death,1/29/2022,Western Urban,Word of mouth,misinformation
the covid 19 vaccine is to reduced the world population,1/29/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine is to reduced the population,1/29/2022,Western Urban,Market/Shops/Street,misinformation
vaccine is to reduced the world population,1/29/2022,Western Urban,Market/Shops/Street,misinformation
vaccines kills,1/29/2022,Western Urban,Word of mouth,rumors
vaccines causes blindness,1/29/2022,Western Urban,Word of mouth,misinformation
vaccines kills,1/29/2022,Western Urban,WhatsApp,rumors
vaccine kills,1/29/2022,Western Urban,Market/Shops/Street,misinformation
vaccine kills,1/29/2022,Western Urban,Market/Shops/Street,misinformation
one who takes the vaccine will die after two years.,1/29/2022,Western Urban,Religious event,misinformation
when you take the vaccine you will die after two years.,1/29/2022,Western Urban,Market/Shops/Street,misinformation
the covid-19 vaccines will killed,1/29/2022,Western Urban,Market/Shops/Street,misinformation
vaccines cause death,1/29/2022,Western Urban,Market/Shops/Street,misinformation
vaccine causes infertility,1/29/2022,Western Urban,WhatsApp,rumors
vaccine causes infertility,1/29/2022,Western Urban,WhatsApp,rumors
covid-19 vaccine causes death,1/28/2022,Western Urban,Word of mouth,rumors
covid-19 vaccine will not make you pregnant,1/29/2022,Western Urban,Market/Shops/Street,rumors
covid-19 vaccine you will not get pregnant in the future.,1/29/2022,Western Urban,Market/Shops/Street,rumors
covid is not real in africa,1/29/2022,Western Urban,Word of mouth,misinformation
covid-19 is not real in africa,1/12/2022,Western Urban,Word of mouth,misinformation
covid-19 is not in africa,1/26/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine kills,1/29/2022,Western Urban,Market/Shops/Street,rumors
covid-19 vaccine causes death,1/29/2022,Western Urban,Market/Shops/Street,rumors
vaccine is safe,1/28/2022,Western Rural,Word of mouth,information
the vaccine safe,1/28/2022,Western Rural,Word of mouth,misinformation
covid-19 vaccine kills,1/29/2022,Western Urban,Market/Shops/Street,rumors
sex worker,1/29/2022,Western Rural,Word of mouth,misinformation
sex worker,1/29/2022,Western Rural,Market/Shops/Street,misinformation
vaccine causes death,1/29/2022,Western Rural,Word of mouth,misinformation
the vaccine is to reduce population size.,1/29/2022,Western Urban,Word of mouth,rumors
vaccine is for sick people,1/29/2022,Western Urban,Market/Shops/Street,misinformation
african's don't believe in the vaccine,1/29/2022,Western Urban,Facebook,misinformation
courses blood clothe,1/29/2022,Western Urban,Printed Newspapers,misinformation
vaccine is not safe,1/29/2022,Bombali,Religious event,concerns
vaccine is not good,1/29/2022,Western Rural,Market/Shops/Street,misinformation
depopulation,1/29/2022,Western Urban,Word of mouth,misinformation
the vaccines causes death,1/29/2022,Western Urban,Word of mouth,rumors
covid_19 kills,1/29/2022,Western Urban,Word of mouth,rumors
corona vaccine kills,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine not safe,1/29/2022,Western Rural,Market/Shops/Street,misinformation
vaccines save lives,1/29/2022,Western Urban,Social mobilization Activities,concerns
vaccine can kill,1/29/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine can barren women,1/29/2022,Western Urban,Market/Shops/Street,misinformation
not to born,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine kill many children,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine cures,1/29/2022,Western Urban,Word of mouth,information
vaccine safe lives,1/29/2022,Western Urban,Word of mouth,information
vaccine bring health complications,1/29/2022,Western Urban,Word of mouth,rumors
vaccine kill,1/29/2022,Western Urban,Market/Shops/Street,misinformation
vaccine kill,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine kill,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine shortening life ,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine causes head ache,1/29/2022,Western Urban,Market/Shops/Street,concerns
vaccine is fake,1/29/2022,Western Urban,Market/Shops/Street,rumors
vaccine kills men,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine kills,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine causes severity of sickness,1/29/2022,Western Urban,WhatsApp,misinformation
to reduced population,1/29/2022,Western Urban,Market/Shops/Street,misinformation
"vaccines cause death
",10/21/2021,Western Urban,WhatsApp,misinformation
the vaccine kill,10/13/2021,Western Urban,Other Social Media,misinformation
if you take covid-19 vaccine you will not pregnant,1/29/2022,Western Urban,Word of mouth,misinformation
vaccines search ,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine causes rash,1/29/2022,Western Urban,Word of mouth,rumors
vaccine kill,1/29/2022,Western Urban,Word of mouth,misinformation
vaccine kill,1/31/2022,Western Urban,Market/Shops/Street,misinformation
not to born,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccines cause death,1/31/2022,Western Urban,Market/Shops/Street,misinformation
health  repercussion,1/31/2022,Western Urban,Word of mouth,concerns
vaccine not fit for those with underline health,1/31/2022,Western Urban,Word of mouth,concerns
vaccine kills,1/31/2022,Western Urban,Market/Shops/Street,misinformation
it prevent child birth,1/31/2022,Western Urban,WhatsApp,rumors
covid-19 vaccine kills,1/31/2022,Western Urban,WhatsApp,rumors
reduce population,1/31/2022,Western Urban,Word of mouth,rumors
way of making money,1/31/2022,Western Urban,Word of mouth,misinformation
vaccine is not good to hear,1/31/2022,Western Urban,Word of mouth,misinformation
the covid19 in sierra leone is fake.  ,1/31/2022,Western Urban,Market/Shops/Street,misinformation
side effects on covid 19,1/31/2022,Western Rural,Market/Shops/Street,misinformation
parent/people consent,1/31/2022,Western Urban,Word of mouth,information
vaccine causes serious sickness.,4/1/2021,Kenema,Word of mouth,misinformation
covid is not real ,1/31/2022,Western Rural,Word of mouth,rumors
that covid-19 kills pregnant woman,1/31/2022,Western Urban,Market/Shops/Street,misinformation
covid vaccine is ok,1/31/2022,Western Rural,Market/Shops/Street,information
the vaccine is safe,1/31/2022,Western Urban,Social mobilization Activities,information
how safe is the vaccine,1/31/2022,Western Urban,Social mobilization Activities,concerns
vaccine cured my sickness,1/31/2022,Western Rural,Market/Shops/Street,information
the vaccine weaken system,1/31/2022,Western Urban,Social mobilization Activities,misinformation
the vaccines causes impotent,1/31/2022,Western Urban,WhatsApp,misinformation
vaccine kills people,1/31/2022,Western Urban,Market/Shops/Street,rumors
vaccine kills young people,1/31/2022,Western Urban,Word of mouth,misinformation
covid-19 kills pregawoman,1/31/2022,Western Urban,Social mobilization Activities,misinformation
vaccine fake,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccine causes barrenness in women,1/31/2022,Western Urban,Social mobilization Activities,misinformation
vaccine will light bulb,1/31/2022,Western Urban,Market/Shops/Street,misinformation
to reduce population,1/31/2022,Western Urban,Word of mouth,misinformation
the vaccine has side effects in the future,1/31/2022,Western Urban,Market/Shops/Street,misinformation
the vaccines changes dna,1/31/2022,Western Urban,Word of mouth,misinformation
"i feel fine, no need to take a vaccine when i am not sick",1/31/2022,Western Urban,Word of mouth,concerns
the vaccines causes cancer,1/31/2022,Western Urban,Facebook,misinformation
vaccine cures,1/31/2022,Western Rural,Radio,information
vaccine is not safe,4/1/2021,Western Urban,Other Social Media WhatsApp,rumors
to cut down the world population,12/10/2021,Western Urban,WhatsApp,misinformation
the vaccine is not good for people who went through cesarian session,1/31/2022,Western Urban,WhatsApp Online newspapers Word of mouth,misinformation
strict measures needed to combat covid-19 in sierra leone,1/31/2022,Western Urban,Word of mouth,concerns
covid-19 vaccine has side effects,1/31/2022,Western Urban,Word of mouth,misinformation
covid is for money making,1/31/2022,Western Urban,Word of mouth,rumors
vaccine causes fever,1/31/2022,Western Urban,Social mobilization Activities,information
vaccine causes swelling in arm,1/31/2022,Western Urban,Social mobilization Activities,information
that the vaccine protect me from getting seriously sick from covid-19 (vaccine safety),1/31/2022,Western Urban,Word of mouth,information
money making from the government,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccine causes heaviness in arm.,1/31/2022,Western Urban,Social mobilization Activities,information
vaccine causes weakness.,1/31/2022,Western Urban,Social mobilization Activities,concerns
vaccines causes magnetic,1/31/2022,Western Urban,WhatsApp,misinformation
vaccine causes dizziness,1/31/2022,Western Urban,Social mobilization Activities,information
money maku,10/15/2021,Western Urban,Market/Shops/Street,misinformation
the vaccines causes high blood pressure,1/31/2022,Western Urban,WhatsApp,rumors
vaccine prevent,1/31/2022,Western Rural,Printed Newspapers,information
vaccine prevent,1/31/2022,Western Rural,Printed Newspapers,information
vaccine prevent,1/31/2022,Western Rural,Printed Newspapers,information
the vaccines causes swelling,1/31/2022,Western Urban,WhatsApp,rumors
covid-19 vaccine is harmful ,1/31/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine can kill after 2yrs,1/31/2022,Western Urban,Word of mouth,misinformation
covid-19 vaccine can cause sleepless night,1/31/2022,Western Urban,Market/Shops/Street,rumors
covid-19 vaccine reduce birth rate,1/31/2022,Western Urban,WhatsApp,rumors
vaccine affect children mental health,1/31/2022,Western Urban,Social mobilization Activities,misinformation
vaccine causes abortion,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccince changes blood group,1/31/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine kills,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccine reduce  africa's population,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccine reduce childbearing,1/31/2022,Western Urban,Word of mouth,misinformation
the vaccine causes hand swelling,1/31/2022,Western Urban,Market/Shops/Street,rumors
vaccine react on people,1/31/2022,Western Urban,Word of mouth,information
fear for sterility,1/31/2022,Western Urban,Social mobilization Activities Word of mouth,misinformation
vaccine cause impotence,1/31/2022,Western Urban,Social mobilization Activities Word of mouth,rumors
misinformation,1/31/2022,Western Urban,Word of mouth,misinformation
not to seen,1/31/2022,Western Urban,WhatsApp,misinformation
covid-19 vaccine is cause of death,1/31/2022,Western Urban,Market/Shops/Street,misinformation
vaccine cause deaths,1/31/2022,Western Urban,Word of mouth,rumors
vaccine cause deaf,1/31/2022,Western Rural,Word of mouth,rumors
causes blood cloth.,1/31/2022,Western Urban,Word of mouth,rumors
stephen koroma,1/31/2022,Western Rural,Word of mouth,rumors
corona is not for africa,1/31/2022,Western Urban,Public event,misinformation
people die within two years if vaccinated,10/22/2021,Western Urban,WhatsApp,misinformation
all vaccine taker will die within two years,10/22/2021,Western Urban,WhatsApp,misinformation
covid vaccine is not safe,1/31/2022,Western Rural,Market/Shops/Street,misinformation
vaccine reduce the population,11/10/2021,Western Urban,WhatsApp,misinformation
don't believe the disease exist,11/19/2021,Western Urban,Market/Shops/Street,rumors
the disease does not exist,1/28/2022,Western Urban,Market/Shops/Street,misinformation
don't believe the disease exist,11/26/2021,Western Urban,Market/Shops/Street,rumors
vaccine causes blindness,2/1/2022,Western Urban,Word of mouth,rumors
the vaccines causes swelling,1/31/2022,Western Urban,WhatsApp,rumors
the vaccine causes variants,2/1/2022,Western Urban,Market/Shops/Street,rumors
the vaccine is not safe for human. ,2/1/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine causes death. ,2/1/2022,Western Urban,Market/Shops/Street,rumors
vaccine causes blood clot,2/1/2022,Western Urban,Market/Shops/Street,rumors
i believe the vaccine is safe,2/1/2022,Western Urban,Social mobilization Activities,information
vaccine is bad,2/1/2022,Western Rural,Word of mouth,misinformation
the vaccine reduce population  growth,2/1/2022,Western Urban,Word of mouth,misinformation
the vaccine is very good for us the market women,2/1/2022,Western Urban,Social mobilization Activities Religious event Market/Shops/Street,information
vaccine not good,2/1/2022,Western Rural,Word of mouth,rumors
the diseases is a man made diseases,2/1/2022,Western Urban,Word of mouth,misinformation
the vaccine causes microchips,2/1/2022,Western Urban,Market/Shops/Street,misinformation
the vaccine causes microchips,2/1/2022,Bombali,Market/Shops/Street,misinformation
the vaccine stop misstration on wamen,2/1/2022,Western Urban,Word of mouth,rumors
it a sign that the world is coming to an end,2/1/2022,Western Urban,Word of mouth,rumors
vaccine includes a tracking device,2/1/2022,Western Urban,Market/Shops/Street,misinformation
"i heard that someone died after taking the vaccine, so i refused to take it.",5/1/2021,Western Urban,Market/Shops/Street Word of mouth WhatsApp,rumors
they want to control the birth rate in the country,2/1/2022,Western Urban,Word of mouth,misinformation
they want to minimise the birth rate in the world,2/1/2022,Western Urban,Social mobilization Activities Public event Twitter Market/Shops/Street,rumors
vaccine too heavy for old people,2/1/2022,Western Urban,Market/Shops/Street,concerns
vaccine not safe as it doesn't cure people,2/1/2022,Western Urban,Market/Shops/Street,misinformation
people with underlying health can not be vaccine,2/1/2022,Western Urban,Word of mouth,misinformation
the vaccine contain microchips,2/1/2022,Western Urban,Market/Shops/Street,misinformation
i heard in a whatsapp video explaining that the vaccine was sent to be tested in africa,7/7/2021,Western Urban,WhatsApp,rumors
i refused to take my vaccine because i am scared of the syringe (middle),2/1/2022,Western Urban,Word of mouth,concerns
vaccine reduce population,2/1/2022,Western Urban,WhatsApp,misinformation
vaccine kills,2/1/2022,Western Urban,Market/Shops/Street,misinformation
i heard that england has declared covid-19 free. that the sickness is not true especially countries like sierra leone,1/25/2022,Western Urban,WhatsApp Facebook Word of mouth,misinformation
johnson and johnson vaccine not effective,2/1/2022,Western Urban,Market/Shops/Street,misinformation
vaccine side effects,2/1/2022,Western Urban,Word of mouth,concerns
to reduce population,2/1/2022,Western Urban,Word of mouth Other Social Media,misinformation
